date	close	volume
23/03/2010	3952.55	3014530
24/03/2010	3949.81	3305334
25/03/2010	4000.48	3619582
26/03/2010	3988.93	2907147
29/03/2010	4000.66	2748668
30/03/2010	3987.41	3039353
31/03/2010	3974.01	3724268
01/04/2010	4034.23	3315809
06/04/2010	4053.94	3564325
07/04/2010	4026.97	3341107
08/04/2010	3978.46	3434198
09/04/2010	4050.54	3239572
12/04/2010	4050.5	3073162
13/04/2010	4031.99	3313348
14/04/2010	4057.7	3530865
15/04/2010	4065.65	3430179
16/04/2010	3986.63	5756971
19/04/2010	3970.47	3340290
20/04/2010	4026.65	3493627
21/04/2010	3977.67	3726808
22/04/2010	3924.65	4829462
23/04/2010	3951.3	4225832
26/04/2010	3997.39	3772847
27/04/2010	3844.6	4591756
28/04/2010	3787	6821796
29/04/2010	3840.62	5064996
30/04/2010	3816.99	4948864
03/05/2010	3828.46	2712806
04/05/2010	3689.29	6394434
05/05/2010	3636.03	6810139
06/05/2010	3556.11	7336842
07/05/2010	3392.59	10510537
10/05/2010	3720.29	10622751
11/05/2010	3693.2	5329710
12/05/2010	3733.87	5218999
13/05/2010	3731.54	3296198
14/05/2010	3560.36	6172078
17/05/2010	3543.55	4131708
18/05/2010	3617.32	4037175
19/05/2010	3511.67	5528169
20/05/2010	3432.52	6480482
21/05/2010	3430.74	6622841
24/05/2010	3430.93	3230918
25/05/2010	3331.29	5215386
26/05/2010	3408.59	5391416
27/05/2010	3525.31	4909784
28/05/2010	3515.06	3724211
31/05/2010	3507.56	1593067
01/06/2010	3503.08	4304054
02/06/2010	3501.5	3415443
03/06/2010	3557.34	4261517
04/06/2010	3455.61	5436688
07/06/2010	3413.72	4030657
08/06/2010	3380.36	3988532
09/06/2010	3446.77	3983497
10/06/2010	3516.64	4349104
11/06/2010	3555.52	4231637
14/06/2010	3626.04	3839864
15/06/2010	3661.51	3767812
16/06/2010	3675.93	3964249
17/06/2010	3683.08	3764299
18/06/2010	3687.21	5482260
21/06/2010	3736.15	3478323
22/06/2010	3705.32	3644617
23/06/2010	3641.79	3509096
24/06/2010	3555.36	3879735
25/06/2010	3519.73	3428404
28/06/2010	3576.45	4679953
29/06/2010	3432.99	4264211
30/06/2010	3442.89	3938182
01/07/2010	3339.9	4565953
02/07/2010	3348.37	3704744
05/07/2010	3332.46	2033340
06/07/2010	3423.36	3458104
07/07/2010	3483.44	3916023
08/07/2010	3538.25	3498618
09/07/2010	3554.48	2718447
12/07/2010	3567.66	2106911
13/07/2010	3637.76	3144689
14/07/2010	3632.98	2556699
15/07/2010	3581.82	3305163
16/07/2010	3500.16	4075134
19/07/2010	3486.33	2477599
20/07/2010	3468.02	2870084
21/07/2010	3493.92	3114871
22/07/2010	3600.57	3751048
23/07/2010	3607.05	3513464
26/07/2010	3636.18	2777712
27/07/2010	3666.4	4721228
28/07/2010	3670.36	3716234
29/07/2010	3651.91	4084614
30/07/2010	3643.14	4225467
